app_id: 0, app_name: pulse_doppler_api-x86, task_id: 86, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 105681272896973, ref_stop_time: 105681272901631, actual_exe_time: 4658, task_app_start_time:105681260255688, task_sched_time:105681272894668
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 87, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681272976112, ref_stop_time: 105681272984577, actual_exe_time: 8465, task_app_start_time:105681260255688, task_sched_time:105681272974068
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 88, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681273133237, ref_stop_time: 105681273139780, actual_exe_time: 6543, task_app_start_time:105681260255688, task_sched_time:105681273132255
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 89, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681273215001, ref_stop_time: 105681273221493, actual_exe_time: 6492, task_app_start_time:105681260255688, task_sched_time:105681273212707
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 90, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 105681273291565, ref_stop_time: 105681273297547, actual_exe_time: 5982, task_app_start_time:105681260255688, task_sched_time:105681273288550
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 91, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681273361517, ref_stop_time: 105681273368190, actual_exe_time: 6673, task_app_start_time:105681260255688, task_sched_time:105681273359022
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 92, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681273486382, ref_stop_time: 105681273492814, actual_exe_time: 6432, task_app_start_time:105681260255688, task_sched_time:105681273484498
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 93, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681273561193, ref_stop_time: 105681273569939, actual_exe_time: 8746, task_app_start_time:105681260255688, task_sched_time:105681273559971
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 94, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 105681273640432, ref_stop_time: 105681273645221, actual_exe_time: 4789, task_app_start_time:105681260255688, task_sched_time:105681273638168
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 95, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681273713369, ref_stop_time: 105681273719962, actual_exe_time: 6593, task_app_start_time:105681260255688, task_sched_time:105681273711977
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 96, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681273852231, ref_stop_time: 105681273860085, actual_exe_time: 7854, task_app_start_time:105681260255688, task_sched_time:105681273849465
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 97, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681273928244, ref_stop_time: 105681273934766, actual_exe_time: 6522, task_app_start_time:105681260255688, task_sched_time:105681273926410
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 98, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 105681274008294, ref_stop_time: 105681274012983, actual_exe_time: 4689, task_app_start_time:105681260255688, task_sched_time:105681274006351
